Scraped Name,Exact Match,Potential Match,Needs Review,Club,Team,Matches,Wins,Losses,Draws,Win %,Record,Points,Divisions
Gregg White,,,YES,Krugersdorp Golf Club,KDP BB A,58,30,19,9,51.70%,30-19-9,0,"2024 CGGU League Season - Betterball League (Men) / D Division, 2025 CGGU League Season - Betterball League / D Division, 2020 - Betterball / B, 2018 - Betterball / B Div, 2023 - Betterball League (Men) / E Division, 2021 - Betterball / B, 2019 - Betterball / A, 2022 - Betterball League (Men) / B Division"
Gavin Hansen,,,YES,Krugersdorp Golf Club,KDP BB A,44,24,11,9,54.50%,2024/11/09,0,"2024 CGGU League Season - Betterball League (Men) / D Division, 2025 CGGU League Season - Betterball League / D Division, 2020 - Betterball / B, 2018 - Betterball / B Div, 2023 - Betterball League (Men) / E Division, 2021 - Betterball / B, 2019 - Betterball / A, 2022 - Betterball League (Men) / B Division"
Hugo Lambrechts,Hugo Lambrecht,,,Krugersdorp Golf Club,KDP BB A,52,23,23,6,44.20%,23-23-6,0,"2024 CGGU League Season - Betterball League (Men) / C Division, 2020 - Betterball / B, 2018 - Betterball / B Div, 2021 - Betterball / B, 2019 - Betterball / A, 2022 - Betterball League (Men) / B Division, 2025 CGGU League Season - Betterball League / C Division, 2023 - Betterball League (Men) / C Division"
Neville Sanders,,,YES,Krugersdorp Golf Club,KDP BB A,48,23,19,6,47.90%,23-19-6,0,"2024 CGGU League Season - Betterball League (Men) / D Division, 2025 CGGU League Season - Betterball League / D Division, 2020 - Betterball / B, 2018 - Betterball / B Div, 2023 - Betterball League (Men) / E Division, 2021 - Betterball / B, 2019 - Betterball / A, 2022 - Betterball League (Men) / B Division"
Ray Schutte,,,YES,Krugersdorp Golf Club,KDP BB A,52,23,20,9,44.20%,23-20-9,0,"2024 CGGU League Season - Betterball League (Men) / D Division, 2025 CGGU League Season - Betterball League / D Division, 2020 - Betterball / B, 2018 - Betterball / B Div, 2023 - Betterball League (Men) / E Division, 2021 - Betterball / B, 2019 - Betterball / A, 2022 - Betterball League (Men) / B Division"
Billy Pollock,,,YES,Krugersdorp Golf Club,KDP BB A,54,22,23,9,40.70%,22-23-9,0,"2024 CGGU League Season - Betterball League (Men) / D Division, 2025 CGGU League Season - Betterball League / D Division, 2020 - Betterball / B, 2018 - Betterball / B Div, 2023 - Betterball League (Men) / E Division, 2021 - Betterball / B, 2019 - Betterball / A, 2022 - Betterball League (Men) / B Division"
Stef Grobbelaar,,,YES,Krugersdorp Golf Club,KDP BB A,58,22,26,10,37.90%,22-26-10,0,"2024 CGGU League Season - Betterball League (Men) / D Division, 2025 CGGU League Season - Betterball League / D Division, 2020 - Betterball / B, 2018 - Betterball / B Div, 2023 - Betterball League (Men) / E Division, 2021 - Betterball / B, 2019 - Betterball / A, 2022 - Betterball League (Men) / B Division"
Jacques Bothma,,,YES,Krugersdorp Golf Club,KDP BB A,38,21,9,8,55.30%,2021/09/08,0,"2024 CGGU League Season - Betterball League (Men) / D Division, 2025 CGGU League Season - Betterball League / D Division, 2023 - Betterball League (Men) / E Division, 2021 - Betterball / B, 2022 - Betterball League (Men) / B Division"
Awie Griesel,,,YES,Krugersdorp Golf Club,KDP BB A,44,20,17,7,45.50%,20-17-7,0,"2024 CGGU League Season - Betterball League (Men) / D Division, 2025 CGGU League Season - Betterball League / D Division, 2020 - Betterball / B, 2023 - Betterball League (Men) / E Division, 2021 - Betterball / B, 2019 - Betterball / A, 2022 - Betterball League (Men) / B Division"
Solly Bellingan,,,YES,Krugersdorp Golf Club,KDP BB A,43,19,19,5,44.20%,19-19-5,0,"2024 CGGU League Season - Betterball League (Men) / D Division, 2025 CGGU League Season - Betterball League / D Division, 2020 - Betterball / B, 2018 - Betterball / B Div, 2023 - Betterball League (Men) / E Division, 2021 - Betterball / B, 2019 - Betterball / A, 2022 - Betterball League (Men) / B Division"
Trevor Pittie,,,YES,Krugersdorp Golf Club,KDP BB A,35,17,15,3,48.60%,17-15-3,0,"2024 CGGU League Season - Betterball League (Men) / C Division, 2018 - Betterball / B Div, 2019 - Betterball / A, 2025 CGGU League Season - Betterball League / C Division, 2023 - Betterball League (Men) / C Division"
Ruan Botha,,,YES,Krugersdorp Golf Club,KDP BB A,34,16,13,5,47.10%,16-13-5,0,"2024 CGGU League Season - Betterball League (Men) / D Division, 2025 CGGU League Season - Betterball League / D Division, 2023 - Betterball League (Men) / E Division, 2021 - Betterball / B, 2022 - Betterball League (Men) / B Division"
Marné Steenkamp,,,YES,Krugersdorp Golf Club,KDP BB A,20,14,6,0,70.00%,14-6-0,0,"2019 - Betterball / A, 2022 - Betterball League (Men) / B Division, 2018 - Betterball / B Div"
Conroy King,,,YES,Krugersdorp Golf Club,KDP BB A,33,13,15,5,39.40%,13-15-5,0,"2024 CGGU League Season - Betterball League (Men) / D Division, 2023 - Betterball League (Men) / E Division, 2025 CGGU League Season - Betterball League / D Division, 2022 - Betterball League (Men) / B Division"
Jannie Engelbrecht,,,YES,Krugersdorp Golf Club,KDP BB B,19,11,6,2,57.90%,2011/06/02,0,"2024 CGGU League Season - Betterball League (Men) / D Division, 2023 - Betterball League (Men) / E Division, 2025 CGGU League Season - Betterball League / D Division"
Jurie Kok,,,YES,Krugersdorp Golf Club,KDP BB B,16,11,3,2,68.80%,2011/03/02,0,"2024 CGGU League Season - Betterball League (Men) / D Division, 2025 CGGU League Season - Betterball League / D Division"
Jason Syme,,,YES,Krugersdorp Golf Club,KDP BB A,27,10,13,4,37.00%,10-13-4,0,"2024 CGGU League Season - Betterball League (Men) / D Division, 2025 CGGU League Season - Betterball League / D Division, 2018 - Betterball / B Div, 2019 - Betterball / A, 2022 - Betterball League (Men) / B Division, 2023 - Betterball League (Men) / C Division"
Greg Douglas,,,YES,Krugersdorp Golf Club,KDP BB A,27,9,12,6,33.30%,2009/12/06,0,"2024 CGGU League Season - Betterball League (Men) / D Division, 2020 - Betterball / B, 2023 - Betterball League (Men) / E Division, 2021 - Betterball / B, 2019 - Betterball / A, 2022 - Betterball League (Men) / B Division"
Oliver Webb,,,YES,Krugersdorp Golf Club,KDP BB A,21,9,9,3,42.90%,2009/09/03,0,"2020 - Betterball / B, 2019 - Betterball / A, 2018 - Betterball / B Div, 2023 - Betterball League (Men) / C Division"
Werner Van Loggerenberg,Werner van Loggerenburg,,,Krugersdorp Golf Club,KDP BB A,20,9,9,2,45.00%,2009/09/02,0,"2024 CGGU League Season - Betterball League (Men) / C Division, 2025 CGGU League Season - Betterball League / C Division, 2023 - Betterball League (Men) / C Division"
Divan Coetzee,,,YES,Krugersdorp Golf Club,KDP BB A,15,8,5,2,53.30%,2008/05/02,0,"2024 CGGU League Season - Betterball League (Men) / C Division, 2025 CGGU League Season - Betterball League / C Division, 2023 - Betterball League (Men) / C Division"
Goolam Casoojee,,,YES,Krugersdorp Golf Club,KDP BB A,21,8,9,4,38.10%,2008/09/04,0,"2020 - Betterball / B, 2018 - Betterball / B Div, 2023 - Betterball League (Men) / E Division, 2021 - Betterball / B, 2019 - Betterball / A"
Henk Botha,,,YES,Krugersdorp Golf Club,KDP BB B,23,8,9,6,34.80%,2008/09/06,0,"2024 CGGU League Season - Betterball League (Men) / D Division, 2023 - Betterball League (Men) / E Division, 2025 CGGU League Season - Betterball League / D Division"
Michael Turetz,Mike Turetz,,,Krugersdorp Golf Club,KDP BB A,20,8,9,3,40.00%,2008/09/03,0,"2019 - Betterball / A, 2024 CGGU League Season - Betterball League (Men) / C Division, 2025 CGGU League Season - Betterball League / C Division, 2023 - Betterball League (Men) / C Division"
Nardus Van der Walt,,,YES,Krugersdorp Golf Club,KDP BB B,21,8,10,3,38.10%,2008/10/03,0,"2024 CGGU League Season - Betterball League (Men) / D Division, 2023 - Betterball League (Men) / E Division, 2025 CGGU League Season - Betterball League / D Division"
Tertius Janse Van Rensburg,,,YES,Krugersdorp Golf Club,KDP BB A,15,8,5,2,53.30%,2008/05/02,0,"2024 CGGU League Season - Betterball League (Men) / C Division, 2023 - Betterball League (Men) / C Division"
